Time v1 v2 v3 v4 v5 v6
1 22535 21120 23225 15875 15475 9815
2 22520 21120 21595 15380 14905 9770
3 22210 21120 20245 15180 14425 9770
4 22080 21120 19630 15180 14675 9770
5 22580 21120 18825 15180 13060 9505
