12825
+Vehicle assignments
car0;z24
car1;z20
car2;z8
car3;z16
car4;z0
car5;z2
car6;z16
car7;z2
car8;z1
car9;z3
car10;z6
car11;z12
car12;z11
car13;z13
car14;z20
car15;z14
car16;z23
car17;z0
car18;z2
car19;z7
car20;z13
car21;z3
car22;z14
car23;z18
car24;z24
car25;z5
car26;z14
car27;z17
car28;z21
car29;z18
car30;z16
car31;z13
car32;z2
car33;z23
car34;z16
car35;z1
car36;z6
car37;z20
car38;z9
car39;z2
car40;z13
car41;z23
car42;z21
car43;z6
car44;z24
car45;z20
car46;z2
car47;z18
car48;z8
car49;z18
car50;z16
car51;z4
car52;z22
car53;z20
car54;z10
car55;z24
car56;z21
car57;z16
car58;z16
car59;z10
car60;z17
car61;z17
car62;z18
car63;z10
car64;z19
car65;z11
car66;z4
car67;z5
car68;z24
car69;z21
car70;z12
+Assigned requests
req0;car43
req1;car8
req2;car20
req3;car66
req4;car28
req5;car3
req6;car61
req7;car36
req8;car21
req9;car25
req10;car46
req11;car19
req12;car15
req13;car52
req14;car2
req15;car37
req16;car28
req17;car40
req18;car42
req19;car21
req20;car5
req21;car25
req22;car5
req23;car16
req24;car27
req25;car48
req26;car30
req27;car41
req28;car60
req29;car40
req30;car6
req31;car7
req32;car35
req33;car6
req34;car61
req35;car2
req36;car25
req37;car38
req38;car40
req39;car63
req40;car65
req41;car44
req42;car9
req43;car53
req44;car24
req46;car34
req47;car10
req48;car35
req49;car58
req50;car15
req51;car60
req52;car50
req53;car5
req54;car29
req55;car1
req56;car20
req57;car49
req59;car70
req60;car1
req61;car70
req62;car65
req63;car6
req64;car4
req65;car51
req66;car48
req67;car26
req68;car51
req70;car0
req71;car60
req72;car12
req73;car52
req74;car60
req75;car32
req76;car67
req77;car4
req78;car49
req79;car66
req80;car26
req81;car4
req82;car30
req83;car63
req84;car3
req85;car28
req86;car46
req87;car16
req88;car29
req89;car44
req90;car29
req91;car39
req92;car7
req93;car50
req94;car48
req95;car20
req96;car67
req97;car36
req98;car58
req99;car50
req100;car51
req101;car32
req102;car10
req103;car0
req104;car50
req105;car46
req106;car34
req107;car12
req108;car69
req109;car30
req110;car27
req111;car31
req112;car42
req113;car39
req114;car63
req115;car5
req116;car16
req117;car44
req118;car36
req119;car40
req120;car52
req121;car41
req122;car49
req123;car24
req124;car66
req125;car18
req126;car67
req127;car17
req128;car47
req129;car70
req130;car25
req131;car15
req132;car50
req133;car27
req134;car19
req135;car34
req136;car34
req137;car30
req138;car18
req139;car57
req140;car54
req141;car33
req142;car58
req143;car19
req144;car61
req145;car21
req146;car58
req147;car45
req148;car10
req149;car38
req150;car21
req151;car0
req152;car11
req153;car59
req154;car69
req155;car41
req156;car7
req157;car38
req158;car14
req159;car7
req160;car26
req161;car44
req162;car66
req163;car16
req164;car36
req165;car19
req166;car55
req167;car43
req168;car5
req169;car54
req170;car59
req171;car26
req172;car35
req173;car60
req174;car67
req175;car34
req176;car54
req177;car23
req178;car60
req179;car66
req180;car42
req181;car13
req182;car51
req183;car2
req184;car40
req185;car34
req186;car9
req187;car3
req188;car3
req189;car8
req190;car62
req191;car42
req192;car70
req193;car56
req194;car3
req195;car48
req196;car19
req197;car31
req198;car27
req199;car69
req200;car13
req201;car25
req202;car30
req203;car4
req204;car55
req205;car6
req206;car68
req207;car9
req208;car46
req209;car2
req210;car57
req211;car7
req212;car54
req213;car22
req214;car69
req215;car50
req216;car17
req217;car64
req218;car64
req219;car27
req220;car38
req221;car62
req222;car55
req223;car32
req224;car69
req225;car65
req226;car11
req227;car68
req228;car13
req229;car2
req230;car69
req231;car35
req232;car31
req233;car64
req234;car49
req235;car46
req236;car55
req237;car38
req238;car20
req239;car26
req240;car47
req241;car53
req242;car18
req243;car30
req244;car8
req245;car33
req246;car23
req247;car56
req248;car35
req249;car54
req250;car58
req251;car64
req252;car33
req253;car14
req254;car48
req255;car46
req256;car65
req257;car45
req258;car21
req259;car69
req260;car25
req261;car6
req262;car14
req263;car39
req264;car62
req265;car58
req266;car11
req267;car38
req268;car48
req269;car12
req270;car32
req271;car68
req272;car24
req273;car53
req274;car23
req275;car65
req276;car15
req277;car45
req278;car9
req279;car43
req280;car57
req281;car18
req282;car56
req283;car24
req284;car55
req285;car12
req286;car0
req288;car63
req289;car67
req290;car59
req291;car9
req292;car62
req293;car53
req294;car63
req295;car29
req296;car6
req297;car36
req298;car55
req299;car47
req300;car59
req301;car19
req302;car12
req303;car28
req304;car52
req305;car19
req306;car45
req307;car37
req308;car40
req309;car43
req310;car1
req311;car56
req312;car41
req313;car47
req314;car9
req315;car25
req316;car50
req317;car69
req318;car23
req319;car52
req320;car18
req321;car22
req322;car13
req323;car33
req324;car70
req325;car57
req326;car53
req327;car8
req328;car31
req329;car39
req330;car49
req331;car37
req332;car69
req333;car56
req334;car49
req335;car66
req336;car59
req337;car39
req338;car32
req339;car61
req340;car11
req341;car51
req342;car7
req343;car58
req344;car4
req345;car43
req346;car36
req347;car47
req348;car10
req349;car11
req350;car63
req351;car14
req352;car26
req353;car10
req354;car33
req355;car45
req356;car57
req357;car1
req358;car9
req359;car0
+Unassigned requests
req45
req58
req69
req287
